"","time","X18.03","X28.03","X32","X40","X44.06","X45.06","TP","N2.Ar","O2.Ar","N2.O2","O2..uM.","O2.Sat....","Temp..C.","Calphase..C.","TCphase..C.","C1..C.","C2..C.","inlet","sock","outlet","MS","flow"
"2904",2017-06-03 01:02:00,7.76388520971303e-09,4.37326710816777e-07,1.09993377483444e-07,4.26156732891832e-09,2.86766004415011e-10,3.92479470198676e-12,4.11355408388521e-06,102.618876970199,25.8151610212583,3.97517940117881,322.151622516556,108.585392935982,17.7783068432671,27.4500507726269,28.7042450331126,33.2706578366446,4.56620750551876,16.9801056383444,17.0595963841943,17.0545971605519,46.011288001192,100.009252577616
"3357",2017-06-03 01:12:00,8.08659528907923e-09,4.31796573875803e-07,1.08518201284797e-07,4.22280513918630e-09,2.88229122055675e-10,3.86856531049251e-12,4.07374732334047e-06,102.252126336831,25.7003778231263,3.978624503197,320.903169164882,108.313218415418,17.8449357601713,27.4651734475375,28.7178137044968,33.2848286937901,4.56703426124197,17.0416157174518,17.1200309287152,17.1169256505996,46.2808545787366,100.067343349101
"3824",2017-06-03 01:22:00,8.14972103004292e-09,4.29959227467811e-07,1.08347639484979e-07,4.21227467811159e-09,2.8712017167382e-10,3.81963519313305e-12,4.06766094420601e-06,102.073283197639,25.7413803095708,3.96535044319742,323.196721030043,108.980682403433,17.7974549356223,27.407160944206,28.6660300429185,33.2310879828326,4.56489270386266,16.9905231790343,17.0735133099142,17.0675534099142,46.4585990417382,99.9932683157511
"4290",2017-06-03 01:32:00,8.16149892933619e-09,4.29267665952891e-07,1.0827408993576e-07,4.206573875803e-09,2.85190578158458e-10,3.79471092077088e-12,4.06539614561028e-06,102.03856767152,25.7652903660814,3.96031293257816,322.373124197002,108.549207708779,17.728948608137,27.4626638115632,28.7158286937902,33.2801241970021,4.56439614561028,16.9271450006638,17.0087348893362,17.0034367892077,46.4746744623341,100.008172938672
"4757",2017-06-03 01:42:00,8.14991434689508e-09,4.29329764453961e-07,1.08130620985011e-07,4.20340471092077e-09,2.83905781584582e-10,3.77841541755889e-12,4.06929336188437e-06,102.135752561884,25.7459596633619,3.9670596380364,321.802903640257,108.350516059957,17.7259935760171,27.4830985010707,28.7338886509636,33.2985867237687,4.56464668094218,16.9278783374946,17.0058283354176,17.0030816223126,46.4667855703212,99.9950884349465
"5224",2017-06-03 01:52:00,8.1247965738758e-09,4.27920770877944e-07,1.07888650963597e-07,4.19023554603854e-09,2.84505353319058e-10,3.77882226980728e-12,4.06064239828694e-06,102.121285649679,25.717320615439,3.97091507535118,320.837312633833,108.024605995717,17.7255588865096,27.5160813704497,28.76326124197,33.3269743040685,4.56376659528908,16.9266833162741,17.0045488191006,17.0022807808137,46.4761785147109,99.9740003952463
"5691",2017-06-03 02:02:00,8.10004282655246e-09,4.26858672376874e-07,1.07293361884368e-07,4.18096359743041e-09,2.83391862955032e-10,3.76565310492505e-12,4.05415417558887e-06,102.10095607045,25.6889634741542,3.97450637204283,320.446946466809,107.890890792291,17.7246552462527,27.5298779443255,28.7755438972163,33.3381991434689,4.56275588865096,16.9260065709208,17.0030956069379,17.0019374419272,46.4301962356959,99.9902528922698
"6158",2017-06-03 02:12:00,8.07413276231263e-09,4.26126338329764e-07,1.07055674518201e-07,4.17571734475375e-09,2.82796573875803e-10,3.74766595289079e-12,4.04800856531049e-06,102.058387820343,25.6831399947966,3.97375032284368,320.258785867238,107.832616702355,17.726835117773,27.5353019271949,28.7804668094218,33.343164882227,4.56271734475375,16.9271879347537,17.0049201921842,17.0034530611349,46.4169548088009,99.9780526372805
"6625",2017-06-03 02:22:00,8.07832976445396e-09,4.26535331905782e-07,1.07139186295503e-07,4.17886509635974e-09,2.84124197002141e-10,3.76117773019272e-12,4.0524625267666e-06,102.07038985546,25.6686976266595,3.97645394207281,319.655824411135,107.590374732334,17.7090899357602,27.563051391863,28.805164882227,33.3673704496788,4.56213062098501,16.9115729979657,16.9881791111349,16.987396959636,46.4098206226981,100.007143818244
"7092",2017-06-03 02:32:00,8.07e-09,4.26266666666667e-07,1.07e-07,4.17733333333333e-09,2.852e-10,3.76666666666667e-12,4.05333333333333e-06,102.095457493333,25.6509476413333,3.98018180666667,319.502,107.5622,17.7198,27.564,28.8058,33.3704,4.5646,16.9245483406667,16.9982177746667,16.999428304,46.3417867026667,100.004805084
"8508",2017-06-03 03:02:00,7.4254e-09,4.28991111111111e-07,1.07128888888889e-07,4.17626666666667e-09,2.81786666666667e-10,3.75577777777778e-12,4.07697777777778e-06,102.722071352889,25.6519966108667,4.00446051998444,319.454028888889,107.594911111111,17.7418822222222,27.55652,28.7994355555556,33.3609088888889,4.56152444444444,16.9443103033111,17.0181809490889,17.0191738558444,46.4846472850444,99.9824502441556
"8958",2017-06-03 03:12:00,7.76730192719486e-09,4.24276231263383e-07,1.06231263383298e-07,4.14698072805139e-09,2.80730192719486e-10,3.70805139186296e-12,4.05880085653105e-06,102.315321894647,25.6518842263383,3.98860864322484,319.607231263383,107.621098501071,17.7304539614561,27.5560064239829,28.798835117773,33.3612012847966,4.56221627408994,16.931180182227,17.0081101609636,17.0065738265953,46.4225313571949,99.987781066424
"9425",2017-06-03 03:22:00,7.84139784946237e-09,4.24283870967742e-07,1.06868817204301e-07,4.15417204301075e-09,2.79602150537634e-10,3.74850537634409e-12,4.06789247311828e-06,102.132332501075,25.7171275866667,3.97139410165161,324.432733333333,108.910982795699,17.5827376344086,27.4538494623656,28.7077548387097,33.2697569892473,4.56196344086022,16.7849589036344,16.870614198043,16.8613291754839,46.434040619957,100.020037675398
"9890",2017-06-03 03:32:00,7.9003426124197e-09,4.2652034261242e-07,1.08982869379015e-07,4.18036402569593e-09,2.74642398286938e-10,3.65045610278373e-12,4.10361884368308e-06,102.030603497645,26.05595040394,3.91588586776874,334.301391862955,112.191158458244,17.5685460385439,27.1338394004283,28.4222655246253,32.9833597430407,4.56121627408994,16.7653949099143,16.854815988137,16.8432315935974,46.4177167026981,100.023583319507
"10357",2017-06-03 03:42:00,7.93802575107296e-09,4.2868025751073e-07,1.10540772532189e-07,4.20328326180258e-09,2.71768240343348e-10,3.62978540772532e-12,4.13832618025751e-06,101.988160204936,26.2816646700644,3.8805884936824,337.519330472103,112.947924892704,17.430517167382,27.0859763948498,28.3795343347639,32.9411480686695,4.56131759656652,16.6684172148283,16.7261963549571,16.7376641535837,46.3739435422318,100.011097895665
