cycle #	time	18.03	28.03	32	40	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
43257	6/3/21 12:00 PM	7.47E-09	4.10E-07	1.01E-07	4.03E-09	2.66E-10	3.59E-12	4.04E-06	101.7756953	25.03441367	4.065431554	1	4835	159	317.82	101.728	15.325	28.63	29.757	34.301	4.545	665.1	645.4	312.3	14.48764038	14.7119751	14.55618286	46.29821777	100.0534898
43258	6/3/21 12:00 PM	7.49E-09	4.12E-07	1.01E-07	4.04E-09	2.66E-10	3.65E-12	4.04E-06	101.8465325	25.02383912	4.069980311	1	4835	159	317.82	101.728	15.325	28.63	29.757	34.301	4.545	665.1	645.4	312.3	14.48391724	14.71035767	14.5541687	46.29281616	99.82786295
43259	6/3/21 12:00 PM	7.48E-09	4.12E-07	1.01E-07	4.04E-09	2.65E-10	3.81E-12	4.02E-06	101.934814	25.04141328	4.070649404	1	4835	159	317.82	101.728	15.325	28.63	29.757	34.301	4.545	665.1	645.4	312.3	14.48095703	14.70651245	14.55142212	46.28808594	99.61833681
43260	6/3/21 12:00 PM	7.49E-09	4.12E-07	1.01E-07	4.05E-09	2.67E-10	3.70E-12	4.06E-06	101.8520868	25.0302218	4.069164372	1	4835	159	317.82	101.728	15.325	28.63	29.757	34.301	4.545	665.1	645.4	312.3	14.47781372	14.70413208	14.54833984	46.27954102	99.72951772
43261	6/3/21 12:00 PM	7.49E-09	4.13E-07	1.02E-07	4.05E-09	2.66E-10	3.81E-12	4.04E-06	102.0876397	25.08901631	4.069017231	1	4835	159	317.82	101.728	15.325	28.63	29.757	34.301	4.545	665.1	645.4	312.3	14.47186279	14.69372559	14.54171753	46.26657105	99.62556722
43262	6/3/21 12:00 PM	7.46E-09	4.11E-07	1.01E-07	4.04E-09	2.66E-10	3.76E-12	4.04E-06	101.7899581	25.03545442	4.065832255	1	4835	159	317.82	101.728	15.325	28.63	29.757	34.301	4.545	665.1	645.4	312.3	14.46920776	14.69073486	14.53866577	46.26437378	99.90575284
43263	6/3/21 12:00 PM	7.47E-09	4.11E-07	1.01E-07	4.03E-09	2.65E-10	3.73E-12	4.02E-06	101.9094758	25.0336679	4.07089669	1	4835	159	317.82	101.728	15.325	28.63	29.757	34.301	4.545	665.1	645.4	312.3	14.46633911	14.68508911	14.53540039	46.26641846	100.2915786
43264	6/3/21 12:00 PM	7.45E-09	4.10E-07	1.01E-07	4.04E-09	2.66E-10	3.70E-12	4.04E-06	101.577261	24.98680205	4.065236551	1	4835	159	317.82	101.728	15.325	28.63	29.757	34.301	4.545	665.1	645.4	312.3	14.46389771	14.6809082	14.53314209	46.25848389	99.4791101
43265	6/3/21 12:00 PM	7.45E-09	4.11E-07	1.01E-07	4.04E-09	2.67E-10	3.70E-12	4.04E-06	101.6841985	25.00396296	4.066723287	1	4835	159	317.071	101.256	15.219	28.702	29.821	34.367	4.546	666.9	645.6	315.8	14.45806885	14.67550659	14.52651978	46.25552368	99.82525495
43266	6/3/21 12:00 PM	7.45E-09	4.11E-07	1.01E-07	4.03E-09	2.65E-10	3.73E-12	4.04E-06	101.821789	25.03266806	4.067556394	1	4835	159	317.071	101.256	15.219	28.702	29.821	34.367	4.546	666.9	645.6	315.8	14.45556641	14.67080689	14.52481079	46.25817871	100.617656
43267	6/3/21 12:00 PM	7.46E-09	4.11E-07	1.01E-07	4.03E-09	2.66E-10	3.68E-12	4.04E-06	101.8124502	25.03567728	4.066694465	1	4835	159	317.071	101.256	15.219	28.702	29.821	34.367	4.546	666.9	645.6	315.8	14.45413208	14.66946411	14.52249146	46.25491333	100.6737739
43268	6/3/21 12:00 PM	7.45E-09	4.10E-07	1.01E-07	4.02E-09	2.65E-10	3.61E-12	4.04E-06	101.9968695	25.05570939	4.070803502	1	4835	159	317.071	101.256	15.219	28.702	29.821	34.367	4.546	666.9	645.6	315.8	14.45062256	14.66717529	14.52120972	46.25375366	100.6783067
43269	6/3/21 12:00 PM	7.45E-09	4.12E-07	1.01E-07	4.06E-09	2.66E-10	3.80E-12	4.06E-06	101.486956	24.97712842	4.063195508	1	4835	159	317.071	101.256	15.219	28.702	29.821	34.367	4.546	666.9	645.6	315.8	14.44451904	14.65814209	14.51385498	46.26052856	100.8761847
43270	6/3/21 12:00 PM	7.49E-09	4.13E-07	1.01E-07	4.06E-09	2.68E-10	3.70E-12	4.04E-06	101.9030364	24.9851411	4.078545566	1	4835	159	317.071	101.256	15.219	28.702	29.821	34.367	4.546	666.9	645.6	315.8	14.44210815	14.65609741	14.51135254	46.26187134	101.0569116
43271	6/3/21 12:00 PM	7.50E-09	4.13E-07	1.01E-07	4.06E-09	2.67E-10	3.72E-12	4.06E-06	101.8424392	24.98030375	4.076909561	1	4835	159	317.071	101.256	15.219	28.702	29.821	34.367	4.546	666.9	645.6	315.8	14.43890381	14.65264893	14.5090332	46.25918579	100.5920708
43272	6/3/21 12:00 PM	7.47E-09	4.11E-07	1.01E-07	4.05E-09	2.66E-10	3.77E-12	4.04E-06	101.5476192	24.97113032	4.066600826	1	4835	159	317.071	101.256	15.219	28.702	29.821	34.367	4.546	666.9	645.6	315.8	14.43719482	14.65151978	14.50854492	46.25579834	100.188823
