cycle #	time	18.03	28.03	32	40	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
59240	6/4/21 12:00 PM	5.68E-09	3.79E-07	8.37E-08	3.69E-09	3.11E-10	4.50E-12	3.98E-06	102.6494574	22.67588499	4.526811519	1	4835	159	294.719	87.183	11.77	31.106	31.966	36.431	4.465	730.6	669.6	429.2	11.16925049	11.22561646	11.2399292	46.21932983	99.43349916
59241	6/4/21 12:00 PM	5.68E-09	3.78E-07	8.36E-08	3.69E-09	3.12E-10	4.20E-12	3.98E-06	102.3155481	22.62590353	4.522053582	1	4835	159	294.719	87.183	11.77	31.106	31.966	36.431	4.465	730.6	669.6	429.2	11.16864014	11.22537231	11.23886108	46.21621704	99.74652816
59242	6/4/21 12:00 PM	5.67E-09	3.77E-07	8.33E-08	3.68E-09	3.12E-10	4.20E-12	3.98E-06	102.4271395	22.62848171	4.526469819	1	4835	159	294.719	87.183	11.77	31.106	31.966	36.431	4.465	730.6	669.6	429.2	11.16793823	11.22418213	11.23971558	46.21697998	100.6428926
59243	6/4/21 12:00 PM	5.67E-09	3.77E-07	8.33E-08	3.68E-09	3.11E-10	4.18E-12	3.98E-06	102.3628259	22.62899243	4.523525573	1	4835	159	294.719	87.183	11.77	31.106	31.966	36.431	4.465	730.6	669.6	429.2	11.16876221	11.22506714	11.23965454	46.21759033	100.2182625
59244	6/4/21 12:00 PM	5.67E-09	3.77E-07	8.33E-08	3.68E-09	3.12E-10	4.12E-12	3.96E-06	102.2860196	22.62093018	4.521742422	1	4835	159	294.719	87.183	11.77	31.106	31.966	36.431	4.465	730.6	669.6	429.2	11.16812134	11.22402954	11.24157715	46.22033691	99.40253394
59245	6/4/21 12:00 PM	5.66E-09	3.77E-07	8.33E-08	3.68E-09	3.12E-10	4.26E-12	3.98E-06	102.2886322	22.61903868	4.522236051	1	4835	159	294.719	87.183	11.77	31.106	31.966	36.431	4.465	730.6	669.6	429.2	11.16854858	11.22457886	11.24090576	46.21740723	99.40679628
59246	6/4/21 12:00 PM	5.66E-09	3.78E-07	8.37E-08	3.70E-09	3.11E-10	4.19E-12	4.00E-06	102.3612899	22.6479777	4.519665785	1	4835	159	295.413	87.384	11.768	31.08	31.942	36.406	4.463	730.6	669.6	429.2	11.16897583	11.22387695	11.23947144	46.21258545	100.0716681
59247	6/4/21 12:00 PM	5.67E-09	3.78E-07	8.35E-08	3.70E-09	3.12E-10	4.20E-12	4.00E-06	102.2671303	22.5916464	4.526767482	1	4835	159	295.413	87.384	11.768	31.08	31.942	36.406	4.463	730.6	669.6	429.2	11.16851807	11.22396851	11.24041748	46.21697998	100.4084696
59248	6/4/21 12:00 PM	5.68E-09	3.78E-07	8.36E-08	3.69E-09	3.12E-10	4.15E-12	3.98E-06	102.5613595	22.65754801	4.526586879	1	4835	159	295.413	87.384	11.768	31.08	31.942	36.406	4.463	730.6	669.6	429.2	11.16781616	11.22375488	11.24075317	46.21569824	100.5602188
59249	6/4/21 12:00 PM	5.68E-09	3.77E-07	8.35E-08	3.69E-09	3.11E-10	4.16E-12	3.96E-06	102.3655232	22.64275954	4.520894331	1	4835	159	295.413	87.384	11.768	31.08	31.942	36.406	4.463	730.6	669.6	429.2	11.16763306	11.22311401	11.24050903	46.2102356	99.99079529
59250	6/4/21 12:00 PM	5.67E-09	3.77E-07	8.32E-08	3.68E-09	3.10E-10	4.28E-12	3.98E-06	102.3199775	22.61685783	4.52405804	1	4835	159	295.413	87.384	11.768	31.08	31.942	36.406	4.463	730.6	669.6	429.2	11.1685791	11.22399902	11.23986816	46.21389771	100.1394147
59251	6/4/21 12:00 PM	5.67E-09	3.77E-07	8.35E-08	3.69E-09	3.12E-10	4.79E-12	3.98E-06	102.2469749	22.61685153	4.520831505	1	4835	159	295.413	87.384	11.768	31.08	31.942	36.406	4.463	730.6	669.6	429.2	11.16793823	11.22351074	11.24035645	46.21932983	99.55698052
