cycle #	time	18.03	28.03	32	40	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/4/21 1:47 PM	6.18E-09	3.94E-07	9.59E-08	3.97E-09	3.14E-10	5.12E-12	3.92E-06	99.33385364	24.19472831	4.105599053	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-12.20883179	12.19827271	12.22219849	46.0430603	0.954686151
1	6/4/21 1:47 PM	6.27E-09	3.98E-07	9.63E-08	3.97E-09	3.15E-10	4.30E-12	3.92E-06	100.1903496	24.26492645	4.129019297	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-9.619232178	12.19207764	12.22177124	46.0361023	0.954882299
2	6/4/21 1:47 PM	6.33E-09	4.00E-07	9.66E-08	3.98E-09	3.16E-10	4.18E-12	3.91E-06	100.6149449	24.28318952	4.14339907	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-9.827178955	12.24710083	12.22332764	46.0340271	0.955666815
3	6/4/21 1:47 PM	6.34E-09	4.01E-07	9.65E-08	3.97E-09	3.14E-10	4.32E-12	3.91E-06	101.0214217	24.31352612	4.154947381	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-9.724517822	12.22555542	12.22225952	46.03344727	0.954798214
4	6/4/21 1:47 PM	6.35E-09	4.02E-07	9.66E-08	3.97E-09	3.16E-10	4.27E-12	3.92E-06	101.2912593	24.3294576	4.163317611	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-10.68807983	12.19992065	12.22134399	46.02966309	10.62844724
5	6/4/21 1:47 PM	6.37E-09	4.02E-07	9.63E-08	3.95E-09	3.14E-10	4.15E-12	3.91E-06	101.6679938	24.36331369	4.172995312	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-10.23974609	12.1980896	12.22088623	46.02877808	12.63190167
6	6/4/21 1:47 PM	6.35E-09	4.01E-07	9.62E-08	3.95E-09	3.13E-10	5.01E-12	3.91E-06	101.4526305	24.32343632	4.170982632	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-11.28948975	12.22622681	12.2199707	46.02835083	19.6176816
7	6/4/21 1:47 PM	6.36E-09	4.01E-07	9.60E-08	3.94E-09	3.12E-10	4.28E-12	3.91E-06	101.7010497	24.36739305	4.17365327	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-10.20959473	12.13842773	12.22012329	46.02804565	24.28439627
8	6/4/21 1:47 PM	6.35E-09	4.00E-07	9.58E-08	3.93E-09	3.12E-10	4.15E-12	3.91E-06	101.6978385	24.37001028	4.173073269	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-10.8208313	12.23632813	12.22140503	46.03491211	26.29556216
9	6/4/21 1:47 PM	6.33E-09	3.98E-07	9.54E-08	3.91E-09	3.11E-10	4.23E-12	3.91E-06	101.8314409	24.37590849	4.177544439	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	-9.627929687	12.18695068	12.2215271	46.02484131	29.05357193
10	6/4/21 1:47 PM	6.34E-09	3.99E-07	9.54E-08	3.91E-09	3.11E-10	4.08E-12	3.92E-06	101.9222079	24.37521428	4.181387154	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	12.09857178	12.22460938	12.2225647	46.03005981	29.84095396
11	6/4/21 1:47 PM	6.33E-09	3.98E-07	9.52E-08	3.92E-09	3.09E-10	4.16E-12	3.91E-06	101.6947641	24.32172916	4.181230844	1	4835	159	326.538	98.839	12.783	29.455	30.493	34.964	4.471	687.7	662.5	396	12.07244873	12.20812988	12.22146606	46.03387451	31.11962786
12	6/4/21 1:47 PM	6.33E-09	3.98E-07	9.52E-08	3.90E-09	3.09E-10	4.18E-12	3.91E-06	102.0397751	24.39758157	4.182372536	1	4835	159	326.077	98.694	12.781	29.472	30.509	34.977	4.468	688.1	662.6	396.1	12.07086182	12.20639038	12.22097778	46.02804565	34.31586499
