cycle #	time	18.06	28.09	32.06	40.06	44.16	45.16	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/19/21 6:21 AM	5.32E-09	4.24E-07	1.05E-07	4.09E-09	2.24E-10	3.02E-12	3.71E-06	103.5554456	25.65852173	4.035908487	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25518799	14.33880615	14.32559204	46.22607422	99.33243888
1	6/19/21 6:21 AM	5.44E-09	4.31E-07	1.06E-07	4.09E-09	2.24E-10	3.12E-12	3.71E-06	105.4098872	25.81371283	4.083484149	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25588989	14.33944702	14.32510376	46.22814941	100.4016563
2	6/19/21 6:21 AM	5.48E-09	4.33E-07	1.06E-07	4.08E-09	2.24E-10	2.92E-12	3.71E-06	106.1188709	25.87945125	4.100506996	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25552368	14.33932495	14.32498169	46.22698975	100.0449991
3	6/19/21 6:21 AM	5.50E-09	4.32E-07	1.05E-07	4.07E-09	2.23E-10	2.88E-12	3.69E-06	106.3273454	25.88545958	4.107608948	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25500488	14.33914185	14.32620239	46.22180176	99.09466257
4	6/19/21 6:21 AM	5.48E-09	4.32E-07	1.05E-07	4.07E-09	2.22E-10	2.99E-12	3.71E-06	106.3070093	25.87474396	4.108524105	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25506592	14.34020996	14.32595825	46.22961426	98.04231216
5	6/19/21 6:21 AM	5.48E-09	4.32E-07	1.05E-07	4.06E-09	2.21E-10	2.86E-12	3.71E-06	106.5493678	25.89689523	4.114368416	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25570679	14.33932495	14.32672119	46.22961426	99.63904517
6	6/19/21 6:21 AM	5.47E-09	4.31E-07	1.05E-07	4.04E-09	2.21E-10	2.96E-12	3.69E-06	106.7009588	25.9001358	4.119706539	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25512695	14.33840942	14.32601929	46.22180176	101.1263734
7	6/19/21 6:21 AM	5.46E-09	4.30E-07	1.04E-07	4.04E-09	2.21E-10	2.92E-12	3.71E-06	106.5212167	25.85935809	4.119252161	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25579834	14.33892822	14.32641602	46.22210693	100.5699629
8	6/19/21 6:21 AM	5.46E-09	4.30E-07	1.04E-07	4.03E-09	2.20E-10	3.11E-12	3.71E-06	106.7439269	25.90360709	4.120813234	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25537109	14.3392334	14.32620239	46.22875977	100.3265215
9	6/19/21 6:21 AM	5.45E-09	4.30E-07	1.04E-07	4.03E-09	2.21E-10	3.20E-12	3.71E-06	106.6621229	25.86924736	4.123124318	2	4835	159	356.018	113.073	14.966	27.531	28.777	33.239	4.462	627.5	634.7	324.2	14.25506592	14.33932495	14.32620239	46.22833252	100.2606219
