cycle #	time	18.06	28.09	32.12	40.12	44.12	45.12	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	7/2/21 8:58 PM	3.11E-09	2.15E-07	5.79E-08	2.33E-09	1.44E-10	2.00E-12	4.19E-06	92.26130427	24.8621211	3.710918465	2	4835	159	349.569	117.885	17.802	26.557	27.908	32.439	4.531	594.8	620	230.3	16.04644775	17.05249023	17.06988525	47.44317627	49.56213231
1	7/2/21 8:58 PM	3.77E-09	2.40E-07	5.99E-08	2.38E-09	1.47E-10	1.86E-12	4.17E-06	100.8458118	25.2016973	4.001548412	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04693604	17.05145264	17.06906128	47.42489624	49.27782545
2	7/2/21 8:58 PM	3.91E-09	2.45E-07	6.01E-08	2.37E-09	1.48E-10	1.89E-12	4.15E-06	103.4886677	25.34314999	4.083496636	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04501343	17.05032349	17.06866455	47.42675781	49.29124501
3	7/2/21 8:58 PM	3.96E-09	2.48E-07	6.02E-08	2.37E-09	1.49E-10	1.84E-12	4.17E-06	104.4796445	25.38611205	4.115622128	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04678345	17.05166626	17.06781006	47.42489624	49.47378606
4	7/2/21 8:58 PM	3.98E-09	2.50E-07	6.04E-08	2.38E-09	1.48E-10	1.79E-12	4.17E-06	104.9084379	25.37917137	4.13364315	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04666138	17.05114746	17.0668335	47.42581177	49.41702298
5	7/2/21 8:59 PM	3.98E-09	2.51E-07	6.04E-08	2.38E-09	1.48E-10	1.82E-12	4.17E-06	105.3713909	25.38254593	4.151332619	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04498291	17.05160523	17.06716919	47.43231201	50.02158438
6	7/2/21 8:59 PM	3.99E-09	2.50E-07	6.02E-08	2.36E-09	1.48E-10	1.99E-12	4.15E-06	105.9807259	25.47206668	4.160664592	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04364014	17.05084229	17.06677246	47.43850708	49.86655391
7	7/2/21 8:59 PM	3.98E-09	2.51E-07	6.02E-08	2.37E-09	1.48E-10	1.88E-12	4.17E-06	105.9024882	25.44664117	4.161747221	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.0451355	17.05194092	17.06652832	47.44644165	49.78157472
8	7/2/21 8:59 PM	3.97E-09	2.50E-07	6.00E-08	2.36E-09	1.47E-10	1.87E-12	4.15E-06	106.2155154	25.46194923	4.171539047	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04684448	17.05133057	17.06622315	47.45172119	49.93388526
9	7/2/21 8:59 PM	3.97E-09	2.50E-07	5.98E-08	2.35E-09	1.46E-10	1.87E-12	4.15E-06	106.1503153	25.42827255	4.174499668	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04476929	17.05154419	17.06570435	47.45605469	50.56284807
10	7/2/21 8:59 PM	3.96E-09	2.50E-07	5.99E-08	2.35E-09	1.47E-10	1.93E-12	4.15E-06	106.2965586	25.44495739	4.177509791	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04586792	17.0517273	17.06564331	47.46273804	51.9207246
11	7/2/21 8:59 PM	3.96E-09	2.50E-07	5.99E-08	2.35E-09	1.46E-10	2.03E-12	4.17E-06	106.4054987	25.45835386	4.179590688	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04302979	17.05041504	17.06542969	47.46151733	53.64247653
12	7/2/21 8:59 PM	3.95E-09	2.51E-07	6.00E-08	2.35E-09	1.46E-10	1.88E-12	4.17E-06	106.4805312	25.46738043	4.181055506	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04373169	17.05194092	17.06506348	47.45236206	55.02016126
13	7/2/21 8:59 PM	3.96E-09	2.50E-07	5.97E-08	2.35E-09	1.46E-10	1.90E-12	4.17E-06	106.574928	25.46880698	4.184527689	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04293823	17.05111694	17.06481934	47.43963623	56.78668723
14	7/2/21 8:59 PM	3.96E-09	2.50E-07	5.98E-08	2.35E-09	1.46E-10	1.85E-12	4.17E-06	106.565277	25.47523111	4.183093631	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04299927	17.05160523	17.06433106	47.43838501	60.34117251
15	7/2/21 8:59 PM	3.96E-09	2.50E-07	5.97E-08	2.34E-09	1.47E-10	1.79E-12	4.17E-06	106.6276646	25.47080297	4.186270245	2	4835	159	349.667	117.915	17.801	26.555	27.906	32.435	4.53	594.9	620.1	230.3	16.04650879	17.05227661	17.06494141	47.43713379	61.64802746
