cycle #	time	18.03	28.03	32	40	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
16074	6/2/21 12:00 PM	8.83E-09	4.50E-07	1.12E-07	4.36E-09	2.95E-10	4.14E-12	4.11E-06	103.1904222	25.71271653	4.013205764	1	4835	159	323.144	108.874	17.758	27.425	28.682	33.271	4.589	633.2	633.3	231.7	16.96282959	17.06399536	17.0375061	46.45617676	98.87396482
16075	6/2/21 12:00 PM	8.82E-09	4.49E-07	1.12E-07	4.36E-09	2.96E-10	4.01E-12	4.11E-06	103.0495631	25.70231427	4.009349586	1	4835	159	323.144	108.874	17.758	27.425	28.682	33.271	4.589	633.2	633.3	231.7	16.96206665	17.06396484	17.03704834	46.45111084	98.45875643
16076	6/2/21 12:00 PM	8.82E-09	4.48E-07	1.12E-07	4.35E-09	2.94E-10	3.99E-12	4.11E-06	102.9838056	25.66442316	4.012706808	1	4835	159	323.144	108.874	17.758	27.425	28.682	33.271	4.589	633.2	633.3	231.7	16.96328735	17.06427002	17.0375061	46.44787598	97.93029435
16077	6/2/21 12:00 PM	8.81E-09	4.49E-07	1.12E-07	4.36E-09	2.96E-10	4.02E-12	4.11E-06	103.0389969	25.70991536	4.007753252	1	4835	159	323.144	108.874	17.758	27.425	28.682	33.271	4.589	633.2	633.3	231.7	16.96337891	17.06536865	17.03720093	46.45111084	98.03804982
16078	6/2/21 12:00 PM	8.87E-09	4.51E-07	1.12E-07	4.36E-09	2.96E-10	4.07E-12	4.11E-06	103.538222	25.76307037	4.018861902	1	4835	159	323.144	108.874	17.758	27.425	28.682	33.271	4.589	633.2	633.3	231.7	16.96392822	17.06472778	17.037323	46.44787598	97.92533135
16079	6/2/21 12:00 PM	8.87E-09	4.51E-07	1.13E-07	4.37E-09	2.95E-10	4.04E-12	4.11E-06	103.1504674	25.75164013	4.005588263	1	4835	159	323.144	108.874	17.758	27.425	28.682	33.271	4.589	633.2	633.3	231.7	16.96350098	17.06417847	17.0368042	46.44815064	98.74524798
16080	6/2/21 12:00 PM	8.84E-09	4.49E-07	1.12E-07	4.37E-09	2.94E-10	4.16E-12	4.13E-06	102.8438903	25.66506272	4.007155228	1	4835	159	323.144	108.874	17.758	27.425	28.682	33.271	4.589	633.2	633.3	231.7	16.96478272	17.0640564	17.03808594	46.44888306	98.45118542
16081	6/2/21 12:00 PM	8.84E-09	4.51E-07	1.13E-07	4.39E-09	2.96E-10	4.07E-12	4.13E-06	102.9177032	25.69246237	4.005754751	1	4835	159	323.038	108.851	17.763	27.426	28.683	33.272	4.588	633.3	633.3	231.5	16.96435547	17.06478882	17.03787231	46.4413147	98.95076479
16082	6/2/21 12:00 PM	8.85E-09	4.51E-07	1.12E-07	4.37E-09	2.96E-10	4.17E-12	4.11E-06	103.0816891	25.69248506	4.012133854	1	4835	159	323.038	108.851	17.763	27.426	28.683	33.272	4.588	633.3	633.3	231.5	16.96447754	17.06512451	17.03863525	46.44595337	98.15110888
16083	6/2/21 12:00 PM	8.83E-09	4.50E-07	1.12E-07	4.38E-09	2.97E-10	4.18E-12	4.13E-06	102.8051032	25.6803026	4.003266814	1	4835	159	323.038	108.851	17.763	27.426	28.683	33.272	4.588	633.3	633.3	231.5	16.96337891	17.06369019	17.03768921	46.4453125	98.99085804
16084	6/2/21 12:00 PM	8.85E-09	4.51E-07	1.12E-07	4.37E-09	2.96E-10	4.22E-12	4.11E-06	103.1234714	25.71666685	4.009985896	1	4835	159	323.038	108.851	17.763	27.426	28.683	33.272	4.588	633.3	633.3	231.5	16.96530151	17.06439209	17.03738403	46.44323731	98.5329484
16085	6/2/21 12:00 PM	8.86E-09	4.49E-07	1.12E-07	4.37E-09	2.96E-10	4.09E-12	4.11E-06	102.9359817	25.68902025	4.007003018	1	4835	159	323.038	108.851	17.763	27.426	28.683	33.272	4.588	633.3	633.3	231.5	16.96264648	17.06539917	17.03701782	46.45367432	98.84381703
