cycle #	time	18.03	28.03	32	40	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
5	6/2/21 8:31 PM	7.19E-09	4.28E-07	1.06E-07	4.20E-09	3.38E-10	4.71E-12	3.85E-06	101.90649	25.16461146	4.049595212	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.60931397	16.697052	16.68331909	46.11553955	108.1877663
6	6/2/21 8:31 PM	7.21E-09	4.30E-07	1.06E-07	4.21E-09	3.37E-10	4.53E-12	3.83E-06	102.1236672	25.18678645	4.054652521	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.61035156	16.69815064	16.68484497	46.11697388	109.4212008
7	6/2/21 8:31 PM	7.23E-09	4.30E-07	1.06E-07	4.21E-09	3.38E-10	4.52E-12	3.85E-06	102.2456898	25.18484596	4.059810015	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.61148071	16.69561768	16.68463135	46.11126709	109.3629437
8	6/2/21 8:31 PM	7.24E-09	4.31E-07	1.06E-07	4.22E-09	3.37E-10	4.57E-12	3.85E-06	102.3308562	25.16958943	4.065654566	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.61169434	16.69769287	16.68429565	46.11462402	110.496855
9	6/2/21 8:32 PM	7.24E-09	4.31E-07	1.06E-07	4.20E-09	3.37E-10	4.59E-12	3.85E-06	102.6685378	25.22792795	4.069638142	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.60946655	16.69934082	16.68338013	46.11434937	110.0473182
10	6/2/21 8:32 PM	7.24E-09	4.31E-07	1.06E-07	4.20E-09	3.37E-10	4.53E-12	3.85E-06	102.598065	25.20251835	4.070944959	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.61062622	16.69735718	16.68295288	46.11273193	109.0430482
11	6/2/21 8:32 PM	7.23E-09	4.32E-07	1.06E-07	4.21E-09	3.37E-10	4.57E-12	3.85E-06	102.6038229	25.19043377	4.073126481	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.6109314	16.69821167	16.68307495	46.11346436	108.1497042
12	6/2/21 8:32 PM	7.23E-09	4.33E-07	1.06E-07	4.21E-09	3.39E-10	4.64E-12	3.87E-06	102.7133099	25.21289592	4.073840237	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.60968018	16.69674683	16.68209839	46.10351563	108.2536471
13	6/2/21 8:32 PM	7.24E-09	4.34E-07	1.07E-07	4.22E-09	3.39E-10	4.62E-12	3.85E-06	102.7423656	25.21921706	4.073971266	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.60940552	16.69897461	16.68127441	46.11462402	107.5526965
14	6/2/21 8:32 PM	7.26E-09	4.33E-07	1.06E-07	4.21E-09	3.39E-10	4.68E-12	3.85E-06	102.962037	25.23461054	4.080191245	2	4835	159	334.154	111.726	17.389	27.212	28.492	33.067	4.575	627.4	635.5	244	16.61065674	16.69866943	16.67971802	46.11773682	106.4447852
