cycle #	time	18.03	28.06	32.03	40.06	44.12	45.12	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/12/21 1:26 PM	6.71E-09	4.19E-07	1.19E-07	4.49E-09	2.66E-10	3.74E-12	3.61E-06	93.36270793	26.48837558	3.524667176	1	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.60546875	12.84466553	13.58123779	46.18878174	98.93025106
1	6/12/21 1:26 PM	8.36E-09	4.59E-07	1.23E-07	4.54E-09	2.70E-10	2.93E-12	3.62E-06	100.9532142	27.13448514	3.720476496	2	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.60498047	12.84051514	13.5824585	46.19482422	98.88167206
2	6/12/21 1:26 PM	8.69E-09	4.69E-07	1.25E-07	4.56E-09	2.70E-10	3.98E-12	3.62E-06	102.9190152	27.36620538	3.760806942	2	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.60540772	12.83462524	13.58251953	46.19302368	100.1154881
3	6/12/21 1:26 PM	8.80E-09	4.73E-07	1.25E-07	4.54E-09	2.71E-10	3.36E-12	3.62E-06	104.0431213	27.51404717	3.78145464	2	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.6053772	12.82781982	13.5803833	46.1920166	101.1424408
4	6/12/21 1:26 PM	8.86E-09	4.73E-07	1.25E-07	4.53E-09	2.68E-10	3.56E-12	3.62E-06	104.4159696	27.58452574	3.78530958	2	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.60534668	12.82662964	13.58081055	46.19567871	100.9111276
5	6/12/21 1:26 PM	8.88E-09	4.74E-07	1.25E-07	4.53E-09	2.69E-10	3.49E-12	3.62E-06	104.6900342	27.60365516	3.792614914	2	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.60498047	12.83059692	13.57955933	46.19729614	99.23008432
6	6/12/21 1:26 PM	8.92E-09	4.73E-07	1.25E-07	4.51E-09	2.67E-10	3.20E-12	3.61E-06	104.9356529	27.63174737	3.797648098	2	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.60519409	12.83465576	13.5821228	46.19482422	101.796716
7	6/12/21 1:26 PM	8.90E-09	4.73E-07	1.25E-07	4.51E-09	2.66E-10	3.32E-12	3.62E-06	104.8839911	27.61996071	3.797398274	2	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.60528565	12.84109497	13.58322144	46.19259644	101.2151255
8	6/12/21 1:26 PM	8.89E-09	4.72E-07	1.24E-07	4.48E-09	2.65E-10	3.36E-12	3.62E-06	105.2934112	27.67037643	3.805275704	2	4835	159	375.97	115.162	13.315	27.646	28.879	33.303	4.424	642.2	659.4	378.6	12.60357666	12.85864258	13.57995606	46.19363403	101.45083
9	6/12/21 1:26 PM	8.85E-09	4.71E-07	1.24E-07	4.47E-09	2.64E-10	3.49E-12	3.61E-06	105.287547	27.67599431	3.804291393	2	4835	159	376.133	115.209	13.314	27.641	28.875	33.294	4.419	642.2	659.4	378.6	12.60464478	12.86056519	13.5803833	46.19171143	101.4510468
